Razao Social;Fundo;Segmento;Codigo
DEVANT PROPERTIES FUNDO DE INVESTIMENTO IMOB;FII DEVA PRO;;DPRO;
DEVANT RECEBIVEIS IMOBILIARIOS FDO. INVEST. IMOB.;FII DEVANT;;DEVA;
DIAMANTE FDO INV IMOB;FII DIAMANTE;MB;DAMT;
DOVEL FDO INV IMOB;FII DOVEL;MB;DOVL;
ENERGY RESORT FDO. INVEST. IMOB.;FII ENERGY;;EGYR;
EQI RECEBIVEIS IMOBILIARIOS FDO DE INV IMOBILIARIO;FII EQI RECE;;EQIR;
ESTOQUE RESIDENCIAL E COMERCIAL RJ FDO INV IMOB;FII ESTOQ RJ;;ERCR;
EUROPA 105 - FDO INV IMOB;FII EUROPA;;ERPA;
EVEN II KINEA FUNDO DE INVESTIMENTO IMOBILIARIO;FII EVEN II;;KEVE;
EXES FUNDO DE INVESTIMENTO IMOBILIARIO;FII EXES;;EXES;
FARIA LIMA CAPITAL RECEB. IMOB. I - FDO INV. IMOB.;FII FL RECEB;;FLCR;
FATOR RENDA GALPAO FDO INV IMOB;FII FATOR GP;;FAGL;
FATOR RENDA URBANA FDO DE INV IMOB;FII FARU;;FARU;
FATOR VERITA FDO INV IMOB - FII;FII FATOR VE;;VRTA;
FDO BRASILIO MACHADO DE INVESTIMENTO IMOBILIARIO;FII BRASILIO;;BMII;
FDO DE INV IMOB LEBLON REALTY DESENVOLVIMENTO I;FII LEBLON;;LRDI;
FDO DE INV IMOB MAUA CAPITAL HIGH YIELD - FII;FII MAUA HY;;MCHY;
FDO DE INV IMOB MAUA CAPITAL MPD DESENV RESID;FII MAUA MPD;;MMPD;
FDO DE INV IMOB UNIMED INVESTCOOP NAC;FII UMED;;UMED;
FDO DE INV IMOBILIARIO DE CRI INTEGRAL BREI;FII BREI;;IBCR;
FDO DE INV IMOBILIARIO DE UNIDADES AUTONOMAS II;FII UNID II;;IDGR;
FDO DE INV. MOGNO CERTIFICADOS DE RECEBIVEIS IMOB.;FII MOGNO HG;;MGCR;
FDO DE INVEST IMOB GUARDIAN MULTIESTRATEGIA I;FII GUARD MU;;GAME;
FDO INV IMOB - FII ANCAR IC;FII ANCAR IC;MB;ANCR;
FDO INV IMOB - FII ANHANGUERA EDUCACIONAL;FII ANH EDUC;;FAED;
FDO INV IMOB - FII BM BRASCAN LAJES CORPORATIVAS;FII BMBRC LC;;BMLC;
FDO INV IMOB - FII BRLPROP;FII BRLPROP;;BPRP;
FDO INV IMOB - FII BTG PACTUAL CORP. OFFICE FUND;FII BC FUND;;BRCR;
FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS;FII BC FFII;;BCFF;
FDO INV IMOB - FII CAMPUS FARIA LIMA;FII CAMPUSFL;;FCFL;
FDO INV IMOB - FII CENESP;FII CENESP;;CNES;
FDO INV IMOB - FII CEO CYRELA COMMERC. PROPERTIES;FII CEO CCP;;CEOC;
FDO INV IMOB - FII EDIFICIO ALMIRANTE BARROSO;FII ALMIRANT;MB;FAMB;
FDO INV IMOB - FII EDIFICIO GALERIA;FII GALERIA;;EDGA;
FDO INV IMOB - FII ELDORADO;FII ELDORADO;MB;ELDO;
FDO INV IMOB - FII HOSPITAL DA CRIANCA;FII CRIANCA;;HCRI;
FDO INV IMOB - FII HOSPITAL NOSSA SRA DE LOURDES;FII LOURDES;;NSLU;
FDO INV IMOB - FII HOTEL MAXINVEST;FII HOTEL MX;;HTMX;
FDO INV IMOB - FII MAX RETAIL;FII MAX RET;;MAXR;
FDO INV IMOB - FII NCH BRASIL RECEBIVEIS IMOB;FII NCH BR;;NCHB;
FDO INV IMOB - FII NOVO HORIZONTE;FII NOVOHORI;;NVHO;
FDO INV IMOB - FII PARQUE D. PEDRO SHOPPING CENTER;FII D PEDRO;;PQDP;
FDO INV IMOB - FII PATEO BANDEIRANTES;FII PTO BAND;;PATB;
FDO INV IMOB - FII RBR DESENVOLVIMENTO;FII RBR DES;;RBRM;
FDO INV IMOB - FII RBR RENDIMENTO HIGH GRADE;FII RBRHGRAD;;RBRR;
FDO INV IMOB - FII REC RECEBIVEIS IMOBILIARIOS;FII REC RECE;;RECR;
FDO INV IMOB - FII REC RENDA IMOBILIARIA;FII REC REND;;RECT;
FDO INV IMOB - FII SHOPPING JARDIM SUL;FII SHOPJSUL;;JRDM;
FDO INV IMOB - FII SHOPPING PARQUE D. PEDRO;FII SHOP PDP;MB;SHDP;
FDO INV IMOB - FII SIA CORPORATE;FII SIA CORP;MB;SAIC;
FDO INV IMOB - FII TORRE ALMIRANTE;FII TORRE AL;;ALMI;
FDO INV IMOB - FII TORRE NORTE;FII TORRE NO;;TRNT;
FDO INV IMOB - OURINVEST FUNDO DE FUNDOS;FII OURI FOF;;OUFF;
FDO INV IMOB - OURINVEST RE I;FII WTC SP;MB;WTSP;
FDO INV IMOB - VBI LOGISTICO;FII VBI LOG;;LVBI;
FDO INV IMOB BARIGUI RENDIMENTOS IMOB I FII;FII BARIGUI;;BARI;
FDO INV IMOB BR HOTEIS - FII;FII BRHOTEIS;MB;BRHT;
FDO INV IMOB BRASIL PLURAL ABSOLUTO FDO DE FUNDOS;FII ABSOLUTO;;BPFF;
FDO INV IMOB BRASIL VAREJO - FII;FII B VAREJO;;BVAR;
FDO INV IMOB BTG PACTUAL SHOPPINGS;FII BTG SHOP;;BPML;
FDO INV IMOB BTG PACTUAL TERRAS AGRICOLAS;FII BTG TAGR;;BTRA;
FDO INV IMOB CAIXA CARTEIRA IMOBILIARIA;FII CAIXA CI;;CXCI;
FDO INV IMOB CAIXA CEDAE;FII CX CEDAE;MB;CXCE;
FDO INV IMOB CAIXA SEQ LOGISTICA RENDA;FII CX TRX;;CXTL;
FDO INV IMOB CENTRO TEXTIL INTERNACIONAL;FII C TEXTIL;;CTXT;
FDO INV IMOB CJ - FII;FII CJ;;CJFI;
FDO INV IMOB CONTINENTAL SQUARE FARIA LIMA;FII S F LIMA;;FLMA;
FDO INV IMOB EDIFICIO OURINVEST;FII OURINVES;MB;EDFO;
FDO INV IMOB EUROPAR;FII EUROPAR;;EURO;
FDO INV IMOB GENERAL SEVERIANO - FII;FII GEN SEV;MB;GESE;
FDO INV IMOB GRAND PLAZA SHOPPING;FII ABC IMOB;;ABCP;
FDO INV IMOB GREEN TOWERS;FII G TOWERS;;GTWR;
FDO INV IMOB HABITAT I;FII HABITAT;;HBTT;
FDO INV IMOB HOSPITAL UNIMED CAMPINA GRANDE;FII UNIMED C;;HUCG;
FDO INV IMOB HOSPITAL UNIMED SUL CAPIXABA;FII H UNIMED;;HUSC;
FDO INV IMOB INDUSTRIAL DO BRASIL;FII INDL BR;;FIIB;
FDO INV IMOB INFRA REAL ESTATE - FII;FII INFRA RE;;FINF;
